provider	id	species_key	cds_url	gff_url	gbff_url	genome_url	cds_archive_member	gff_archive_member	gbff_archive_member	genome_archive_member	cds_filename	gff_filename	gbff_filename	genome_filename	cds_url_template	gff_url_template	genome_url_template	local_cds_path	local_gff_path	local_gbff_path	local_genome_path
direct	Prunus_davidiana_GDR_pd_v2.0	Prunus_davidiana		https://www.rosaceae.org/rosaceae_downloads/Prunus_davidiana/pd_v2.0.a1/genes/Pda.update.gff3.gz		https://www.rosaceae.org/rosaceae_downloads/Prunus_davidiana/pd_v2.0.a1/assembly/Pda.genome.update.fa.gz						Pda.update.gff3.gz		Pda.genome.update.fa.gz							
direct	https://www.rosaceae.org/Analysis/8666528	Prunus_mira		https://www.rosaceae.org/rosaceae_downloads/Prunus_mira/pm_v1.0.a1/refTransAlignments/pmira_v1.0_f.ananassa_GDR_reftransV1.p97.len97.gff3.gz		https://www.rosaceae.org/rosaceae_downloads/Prunus_mira/pm_v1.0.a1/assembly/Prunus_mira.genome.fa.gz						pmira_v1.0_f.ananassa_GDR_reftransV1.p97.len97.gff3.gz		Prunus_mira.genome.fa.gz							
direct	https://treegenesdb.org/organism/Pseudotsuga-menziesii	Pseudotsuga_menziesii	https://treegenesdb.org/FTP/Genomes/Psme/v1.0/annotation/Psme.1_0.cds.fa.gz	https://treegenesdb.org/FTP/Genomes/Psme/v1.0/annotation/Psme.1_0.gtf.gz		https://treegenesdb.org/FTP/Genomes/Psme/v1.0/genome/Psme.1_0.fa.gz					Psme.1_0.cds.fa.gz	Psme.1_0.gtf.gz		Psme.1_0.fa.gz							
direct	Schrenkiella_parvula_CNGB_SciRAID	Schrenkiella_parvula	https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/schrenkiella_parvula/02.annotation/Sparvula_574_v2.2.cds.fa.gz	https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/schrenkiella_parvula/02.annotation/Sparvula_574_v2.2.gene.gff3.gz		https://ftp.cngb.org/pub/ncbi/genomes/GCA/000/218/505/GCA_000218505.1_Eutrema_parvulum_v01/GCA_000218505.1_Eutrema_parvulum_v01_genomic.fna.gz															
direct	https://ngdc.cncb.ac.cn/gwh/Genome/813/show	Scutellaria_baicalensis	https://download.cncb.ac.cn/gwh/Plants/Scutellaria_baicalensis_Sbg03_GWHAOTC00000000/GWHAOTC00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Plants/Scutellaria_baicalensis_Sbg03_GWHAOTC00000000/GWHAOTC00000000.gff.gz		https://download.cncb.ac.cn/gwh/Plants/Scutellaria_baicalensis_Sbg03_GWHAOTC00000000/GWHAOTC00000000.genome.fasta.gz					GWHAOTC00000000.RNA.fasta.gz	GWHAOTC00000000.gff.gz		GWHAOTC00000000.genome.fasta.gz							
direct	https://treegenesdb.org/organism/Sequoia-sempervirens	Sequoia_sempervirens	https://treegenesdb.org/FTP/Genomes/Sese/v2.1/annotation/SESE.2_1.cds.fa.gz	https://treegenesdb.org/FTP/Genomes/Sese/v2.1/annotation/SESE.2_1.gtf.gz		https://treegenesdb.org/FTP/Genomes/Sese/v2.1/genome/Sese.2_1.fa					SESE.2_1.cds.fa.gz	SESE.2_1.gtf.gz		Sese.2_1.fa							
direct	https://treegenesdb.org/organism/Sequoiadendron-giganteum	Sequoiadendron_giganteum	https://treegenesdb.org/FTP/Genomes/Segi/v2.0/annotation/Segi.2_0.cds.fa.gz	https://treegenesdb.org/FTP/Genomes/Segi/v2.0/annotation/Segi.2_0.gtf.gz		https://treegenesdb.org/FTP/Genomes/Segi/v2.0/genome/Segi.2_0.fa.gz					Segi.2_0.cds.fa.gz	Segi.2_0.gtf.gz		Segi.2_0.fa.gz							
direct	https://spuddb.uga.edu/S_candolleanum_v1_0_download.shtml	Solanum_candolleanum	https://spuddb.uga.edu/data/S_candolleanum_v1_0/S_candolleanum_v1.0.gene_models.hc.repr.cds.fa.gz	https://spuddb.uga.edu/data/S_candolleanum_v1_0/S_candolleanum_v1.0.gene_models.hc.repr.gff3.gz		https://spuddb.uga.edu/data/S_candolleanum_v1_0/S_candolleanum_v1.0.asm.fasta.gz					S_candolleanum_v1.0.gene_models.hc.repr.cds.fa.gz	S_candolleanum_v1.0.gene_models.hc.repr.gff3.gz		S_candolleanum_v1.0.asm.fasta.gz							
direct	Solanum_melongena_PlantGARDEN_t4111.G001	Solanum_melongena		https://plantgarden.jp/en/download/t4111/t4111.G001/Eggplant_V4.1_function_IPR_final.gff.gz		https://plantgarden.jp/en/download/t4111/t4111.G001/Eggplant_V4.1.fa.gz						Eggplant_V4.1_function_IPR_final.gff.gz		Eggplant_V4.1.fa.gz							
direct	https://figshare.com/articles/dataset/Chromosome-level_genome_assembly_of_Solanum_pimpinellifolium/24605586	Solanum_pimpinellifolium		https://ndownloader.figshare.com/files/45061573		https://ndownloader.figshare.com/files/43237608						LA1589.gene.gff		LA1589.genome.fa							
